변수명,변수 라벨,비공공부문 유효 N,비공공부문 예(1) N,비공공부문 예(1) 비율(%),공공부문 유효 N,공공부문 예(1) N,공공부문 예(1) 비율(%),"비율 차이(%p, 공공-비공공)",카이제곱,p-value,p-value 표기,유의성,Phi 효과크기,공공부문 대비 오즈비,최소 기대빈도
automated_monitoring_exposure,자동화 감시 경험,7562,2770,36.63,2753,933,33.89,-2.74,6.586,0.010280614635566452,0.010,*,0.0253,0.887,988.3
automated_performance_management_exposure,자동화 성과평가 경험,7554,2265,29.98,2755,691,25.08,-4.9,23.723,1.1123902504246351e-06,< .001,***,0.048,0.782,789.97
