Outcome,Restricted model converged,Audit runs requested,Audit runs valid,WCLR-C mean,WCLR-C SD,WCLR-C min,WCLR-C max,WCLR-S mean,WCLR-S SD,WCLR-S min,WCLR-S max,Audit status
detailed_explanation,True,3,3,0.014768143481014767,0.00030553559989037854,0.014501450145014501,0.015101510151015102,0.014701470147014702,0.0004000400040003998,0.014301430143014302,0.015101510151015102,REPORTED
personal_data_access,True,3,3,0.6641997533086642,0.004552744076025242,0.6595659565956595,0.6686668666866686,0.6641330799746641,0.00414931036637039,0.6596659665966597,0.6678667866786678,REPORTED
automated_analysis_access,False,3,0,,,,,,,,,NOT REPORTED: restricted logit did not converge.
not_informed,True,3,3,0.01976864353101977,0.0017216056717238872,0.0184018401840184,0.021702170217021702,0.0196019601960196,0.00200768675866434,0.018201820182018203,0.021902190219021903,REPORTED
