Outcome,Public-sector beta,OR,Conventional cluster-robust z p,WCLR-C p,WCLR-S p,N,Countries,Bootstrap replications,Bootstrap weights
상세 설명 경험 (RQ1),-0.22669005917000581,0.7971678188602245,0.006014946657521417,0.014501450145014501,0.014301430143014302,9719,27,9999,Rademacher
개인정보 접근 경험 (RQ2),0.042648926047966655,1.0435714597748589,0.654282797911707,0.6643664366436643,0.6648664866486649,9719,27,9999,Rademacher
자동화 분석 결과 접근 경험 (RQ3),-0.14384817835727914,0.8660192185393069,0.14840677481832762,0.15371537153715373,0.15211521152115212,9719,27,9999,Rademacher
기술 사용 사실 무고지 경험 (RQ4),0.15166982370322657,1.1637759217656845,0.01238882195202767,0.021702170217021702,0.021902190219021903,9719,27,9999,Rademacher
