Outcome,Outcome label,N,Countries,Bootstrap replications,Bootstrap weights,Public-sector beta,OR,Table 2 cluster-robust SE,Table 2 cluster-robust z p,Conventional CV1 SE,Conventional CV1 t,Conventional CV1 t(df=G-1) p,WCLR-C symmetric p,WCLR-S symmetric p,WCLR-C equal-tail p,WCLR-S equal-tail p,Full logit converged,Restricted logit converged,WCLR-C p label,WCLR-C significance,WCLR-S p label,WCLR-S significance
detailed_explanation,상세 설명 경험 (RQ1),9719,27,9999,Rademacher,-0.22669005917000581,0.7971678188602245,0.08252381092733703,0.006014946657521417,0.08252381092733689,-2.7469654712093807,0.010776841910789535,0.014501450145014501,0.014301430143014302,0.014001400140014001,0.013801380138013802,True,True,0.015,*,0.014,*
personal_data_access,개인정보 접근 경험 (RQ2),9719,27,9999,Rademacher,0.042648926047966655,1.0435714597748589,0.09523666899933035,0.654282797911707,0.09523666899933053,0.4478204298416449,0.6579919947177874,0.6643664366436643,0.6648664866486649,0.6646664666466646,0.6656665666566657,True,True,0.664,,0.665,
automated_analysis_access,자동화 분석 결과 접근 경험 (RQ3),9719,27,9999,Rademacher,-0.14384817835727914,0.8660192185393069,0.09953637653845084,0.14840677481832762,0.09953637653845002,-1.4451819863234812,0.16035261631103914,0.15371537153715373,0.15211521152115212,0.15181518151815182,0.15141514151415142,True,False,0.154,,0.152,
not_informed,기술 사용 사실 무고지 경험 (RQ4),9719,27,9999,Rademacher,0.15166982370322657,1.1637759217656845,0.06064679485073598,0.01238882195202767,0.060646794850735763,2.500871217951702,0.019019933549511658,0.021702170217021702,0.021902190219021903,0.021802180218021803,0.021802180218021803,True,True,0.022,*,0.022,*
