결과변수,결과변수 라벨,진단 변수,진단 변수 라벨,범주,결과=0 N,결과=1 N,전체 N,결과=1 비율(%),희소·분리 경고
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,12,1073,534,1607,33.23,
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,13,1228,896,2124,42.18,
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,14,440,346,786,44.02,
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,15,714,589,1303,45.2,
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,16,140,118,258,45.74,
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,17,866,906,1772,51.13,
not_informed,기술 사용 사실 무고지,occupation_code,직업 유형,18,127,223,350,63.71,
not_informed,기술 사용 사실 무고지,workplace_size,조직 규모,1,96,98,194,50.52,
not_informed,기술 사용 사실 무고지,workplace_size,조직 규모,2,1116,1070,2186,48.95,
not_informed,기술 사용 사실 무고지,workplace_size,조직 규모,3,2053,1554,3607,43.08,
not_informed,기술 사용 사실 무고지,workplace_size,조직 규모,4,1214,748,1962,38.12,
not_informed,기술 사용 사실 무고지,workplace_size,조직 규모,5,765,455,1220,37.3,
not_informed,기술 사용 사실 무고지,automated_monitoring_exposure,자동화 감시 경험,0.0,2582,3201,5783,55.35,
not_informed,기술 사용 사실 무고지,automated_monitoring_exposure,자동화 감시 경험,1.0,2662,724,3386,21.38,
not_informed,기술 사용 사실 무고지,automated_performance_management_exposure,자동화 성과평가 경험,0.0,3027,3372,6399,52.7,
not_informed,기술 사용 사실 무고지,automated_performance_management_exposure,자동화 성과평가 경험,1.0,2217,553,2770,19.96,
