Model,Added block,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
M2,교육수준,C(country_fe)[T.SE],-0.8028810162118531,0.052045016361223224,0.4480363030699793,0.40458744966200333,0.4961511510955463,1.0832552301914008e-53,< .001,***
M2,교육수준,C(country_fe)[T.SI],-0.48988411907148716,0.016710170365655697,0.6126973900132575,0.5929557809394358,0.6330962675400592,6.386427870383469e-189,< .001,***
M2,교육수준,C(country_fe)[T.SK],-0.4838079604440287,0.005786735812420609,0.6164315697912178,0.6094796283127347,0.6234628075875353,0.0,< .001,***
M2,교육수준,C(gender)[T.2],0.04606433926381168,0.05592666908981515,1.0471417811209442,0.9384272737868268,1.168450598568415,0.41013501942240116,0.410,
M2,교육수준,C(gender)[T.3],0.6970804079224286,0.5772953023842867,2.0078819453051175,0.647654701185967,6.224906418342568,0.22724209166194675,0.227,
M2,교육수준,public_sector,-0.06903137316579169,0.07506659084206306,0.9332973991248505,0.8056070489658632,1.081226928601664,0.3577808780410823,0.358,
M2,교육수준,age,-0.006302994856640645,0.0022750557632224156,0.993716827347159,0.9892956811585283,0.9981577315656625,0.00559738610912447,0.006,**
M2,교육수준,education_age,0.020997706410094612,0.008279757650564365,1.021219709375626,1.004781072642576,1.037927289050575,0.011211741443839329,0.011,*
M3,직업 유형,Intercept,-0.06957707657311367,0.14990208805233574,0.932788234493176,0.6953223205410282,1.2513533144339144,0.6425401739989289,0.643,
M3,직업 유형,C(country_fe)[T.BE],-0.658610814135275,0.01964661072086816,0.5175698360102668,0.49801879407335925,0.537888405689837,2.237940548672728e-246,< .001,***
M3,직업 유형,C(country_fe)[T.BG],-0.4424607271203792,0.01715345527457035,0.6424535714744528,0.621213235452206,0.6644201506747117,1.028390884362585e-146,< .001,***
M3,직업 유형,C(country_fe)[T.CY],-0.7817978536374952,0.018987566535291867,0.457582604794334,0.44086666323185664,0.4749323495576971,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.CZ],-1.352929385976318,0.019010905395687106,0.25848195708603466,0.24902796592671497,0.26829485552112114,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.DE],-0.6441422241859491,0.011630950826520948,0.5251127780188822,0.5132775900699063,0.5372208624988922,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.DK],-1.091725556250823,0.04195270095524613,0.3356368334963679,0.3091429959151982,0.3644012171971396,2.7363435389472384e-149,< .001,***
M3,직업 유형,C(country_fe)[T.EE],-0.8078308271072414,0.01888962414917868,0.44582408763626286,0.42962015973926587,0.46263917698213225,0.0,< .001,***
M3,직업 유형,C(country_fe)[T.ES],-0.8976087779761258,0.015081839497082531,0.4075430213632824,0.3956724168646781,0.41976975695709645,0.0,< .001,***
