Stage,Stage type,Reduced specification,Added covariate block,N,Countries,Raw reduced converged,Rescaled reduced converged,Full converged,Warnings,Raw reduced beta,Rescaled reduced beta,Full beta,Naive raw-to-full change,Scaling / rescaling component,Added-covariate component,Added-covariate component (% of rescaled beta),Raw reduced OR,Rescaled reduced OR,Full OR,Direction note
연령 및 성별,Single-block KHB contrast,public_sector + C(country_fe),age + C(gender),9719,27,True,True,True,,-0.028028,-0.028102,-0.027313,-0.000715,7.3e-05,-0.000789,2.81,0.972,0.972,0.973,Adding this block makes the public-sector coefficient less negative
교육수준,Single-block KHB contrast,public_sector + C(country_fe),education_age,9719,27,True,True,True,,-0.028028,-0.029402,-0.07081,0.042782,0.001373,0.041408,-140.84,0.972,0.971,0.932,Adding this block makes the public-sector coefficient more negative
직업 유형,Single-block KHB contrast,public_sector + C(country_fe),C(occupation_code),9719,27,True,True,True,,-0.028028,-0.020742,-0.186775,0.158747,-0.007286,0.166033,-800.46,0.972,0.979,0.83,Adding this block makes the public-sector coefficient more negative
조직 규모,Single-block KHB contrast,public_sector + C(country_fe),C(workplace_size),9719,27,True,True,True,,-0.028028,-0.024683,-0.081384,0.053356,-0.003346,0.056701,-229.72,0.972,0.976,0.922,Adding this block makes the public-sector coefficient more negative
직무 디지털 역량,Single-block KHB contrast,public_sector + C(country_fe),digital_skill_job,9719,27,True,True,True,,-0.028028,-0.024615,-0.065632,0.037604,-0.003413,0.041017,-166.63,0.972,0.976,0.936,Adding this block makes the public-sector coefficient more negative
