Occupation code,Occupation label,Public N,Non-public N,Public occupation share,Non-public occupation share,Pooled occupation share,m_public (standardised probability),m_non-public (standardised probability),Within-occupation difference (public - non-public),Composition contribution (probability),Within-occupation sector-association contribution (probability),Total occupation contribution (probability),Composition contribution (pp),Within-occupation sector-association contribution (pp),Total occupation contribution (pp)
10,"Employed professional (employed doctor, etc.)",265,451,0.09958662157083803,0.06389912156418248,0.07367013067187983,0.22713172556943084,0.26785959146440225,-0.040727865894971405,0.008832501314969678,-0.0033292127110714285,0.005503288603898249,0.8832501314969678,-0.33292127110714287,0.550328860389825
11,"General management, etc.",110,189,0.04133784291619692,0.026778124114480023,0.030764481942586686,0.1617886034318484,0.3345423676644901,-0.1727537642326417,0.003613219685872882,-0.005883644854447979,-0.002270425168575097,0.3613219685872882,-0.5883644854447979,-0.2270425168575097
12,"Middle management, etc.",787,917,0.2957534761367907,0.12992349107395862,0.17532667969955756,0.21342670413768977,0.30706326095046427,-0.0936365568127745,0.04315642156796129,-0.01992946276205944,0.02322695880590185,4.3156421567961285,-1.9929462762059438,2.322695880590185
13,"Employed position, at desk",703,1542,0.26418639609169486,0.2184754888070275,0.230990842679288,0.2215216354866707,0.2200073785854654,0.0015142569012052964,0.010091345912871003,0.0003654370450783234,0.010456782957949325,1.0091345912871001,0.036543704507832335,1.0456782957949324
14,"Employed position, travelling",55,776,0.02066892145809846,0.1099461603853783,0.08550262372672085,0.18173098696236978,0.19588988136455202,-0.014158894402182237,-0.016856474242774738,-0.0009246825755770889,-0.017781156818351827,-1.6856474242774737,-0.09246825755770889,-1.7781156818351826
15,"Employed position, service job",493,902,0.1852686959789553,0.12779824312836496,0.1435332853174195,0.20954036234431278,0.20919714582087007,0.00034321652344271314,0.01203251710989041,5.372487322263301e-05,0.012086241983113043,1.203251710989041,0.0053724873222633016,1.2086241983113044
16,Supervisor,34,234,0.012777151446824501,0.03315386795126098,0.027574853379977365,0.11910428070117575,0.1833980106420071,-0.06429372994083134,-0.0030820017163212437,-0.0014765382785437969,-0.0045585399948650405,-0.3082001716321244,-0.1476538278543797,-0.45585399948650407
17,Skilled manual worker,160,1723,0.06012777151446824,0.24412014735052423,0.19374421236752754,0.1493681942548854,0.16890188165091563,-0.01953368739603023,-0.029279633711715106,-0.0029715418690007657,-0.03225117558071587,-2.9279633711715105,-0.29715418690007656,-3.225117558071587
18,"Unskilled manual worker, etc.",54,324,0.020293122886133032,0.0459053556248229,0.0388928902150427,0.07525259913375806,0.09236789895477104,-0.01711529982101298,-0.0021465676044092634,-0.0005665034037049477,-0.002713071008114211,-0.21465676044092633,-0.056650340370494774,-0.2713071008114211
